Date,EURUSD=X,USDJPY=X,spread,velocity
2010-08-12,1.284406,85.172,-84.05054,0.1201622
2010-08-13,1.282989,86.074,-84.06368,0.1089732
2010-08-16,1.27709,86.14,-84.09537,0.09716574
2010-08-17,1.281197,85.307,-84.00248,0.09680692
2010-08-18,1.287996,85.595,-83.96783,0.09158919
2010-08-19,1.285645,85.44,-83.91932,0.0879734
2010-08-20,1.280803,85.344,-83.86725,0.08495906
2010-08-23,1.271003,85.56,-83.86077,0.07837148
2010-08-24,1.263504,85.141,-83.79713,0.07713516
2010-08-25,1.263296,84.178,-83.59527,0.08760464
2010-08-26,1.2664,84.684,-83.49372,0.08877559
2010-08-27,1.270648,84.346,-83.35389,0.09306052
2010-08-30,1.275396,85.501,-83.41026,0.08051761
2010-08-31,1.266592,84.532,-83.31978,0.08135402
2010-09-01,1.26873,84.14,-83.18156,0.08612732
2010-09-02,1.280295,84.407,-83.10027,0.08572074
2010-09-03,1.282594,84.25,-83.00725,0.08633368
2010-09-06,1.289407,84.43,-82.95494,0.08347769
2010-09-07,1.286836,84.12,-82.86553,0.08397556
2010-09-08,1.267797,83.732,-82.7324,0.0881014
2010-09-09,1.273204,83.95,-82.64933,0.087679
2010-09-10,1.269309,83.93,-82.57699,0.08639145
2010-09-13,1.271698,84.307,-82.57497,0.07930988
2010-09-14,1.2872,83.681,-82.47988,0.08063412
2010-09-15,1.299174,83.048,-82.29851,0.08909022
2010-09-16,1.301507,85.7,-82.54846,0.06063029
2010-09-17,1.3076,85.848,-82.80574,0.03394506
2010-09-20,1.304393,85.69,-83.02174,0.01296398
2010-09-21,1.306694,85.702,-83.22353,-0.005062177
2010-09-22,1.325697,85.113,-83.31512,-0.01232595
2010-09-23,1.3391,84.48,-83.29856,-0.009900683
2010-09-24,1.331913,84.51,-83.28827,-0.008205783
2010-09-27,1.347909,84.316,-83.24561,-0.003936564
2010-09-28,1.343905,84.275,-83.20023,0.0002036067
2010-09-29,1.357092,83.892,-83.09701,0.008850718
2010-09-30,1.362806,83.766,-82.98207,0.01775589
2010-10-01,1.362212,83.57,-82.84714,0.02759142
2010-10-04,1.377695,83.333,-82.68569,0.0388274
2010-10-05,1.367409,83.503,-82.56768,0.04547448
2010-10-06,1.383394,83.19,-82.41137,0.05477789
2010-10-07,1.392002,82.967,-82.23554,0.06493933
2010-10-08,1.392796,82.38,-81.98731,0.08032462
2010-10-11,1.397761,81.82,-81.67703,0.09962774
2010-10-12,1.388021,82.089,-81.44166,0.1110221
2010-10-13,1.391692,81.78,-81.18469,0.1232732
2010-10-14,1.396726,81.798,-80.95917,0.1318557
2010-10-15,1.407202,81.47,-80.70891,0.1417951
2010-10-18,1.396433,81.378,-80.47642,0.1494078
2010-10-19,1.393592,81.198,-80.24607,0.1562021
2010-10-20,1.373909,81.542,-80.10198,0.1551852
2010-10-21,1.396317,81.055,-79.90218,0.1589309
2010-10-22,1.391692,81.3,-79.76881,0.1567849
2010-10-25,1.394408,81.309,-79.65889,0.1528513
2010-10-26,1.394895,80.825,-79.49427,0.1538385
2010-10-27,1.385425,81.337,-79.43509,0.1458932
2010-10-28,1.377809,81.679,-79.44594,0.1327363
2010-10-29,1.377809,81.679,-79.46622,0.1198915
2010-11-01,1.397507,80.406,-79.294,0.1242837
2010-11-02,1.391091,80.559,-79.16944,0.1243073
2010-11-03,1.403607,80.668,-79.07909,0.1214567
2010-11-04,1.412729,81.05,-79.0629,0.1126208
2010-11-05,1.422799,80.776,-79.01268,0.1073824
2010-11-08,1.407578,81.14,-79.03341,0.0966291
2010-11-09,1.386963,81.09,-79.05546,0.08666707
2010-11-10,1.377202,81.583,-79.16038,0.07058482
2010-11-11,1.377562,82.204,-79.35877,0.04800683
2010-11-12,1.362101,82.41,-79.57981,0.0254224
2010-11-15,1.369319,82.47,-79.79388,0.005319186
2010-11-16,1.357478,83.162,-80.1008,-0.02089016
