time,x,y,xv,yv,truex,truey,truexv,trueyv,measx,measy,measxv,measyv,gainx,gainy,gainxv,gainyv
5.2,259.8848,131.721,49.96243,7.752288,260,127.3688,50,-1.012,260.7346,126.5202,50.71492,-0.5376757,0.08825856,0.08825856,0.08929055,0.08929055
5.3,264.6872,131.5474,49.86752,6.704835,265,127.2186,50,-1.993,262.98,126.8386,49.36152,-2.603531,0.08825664,0.08825664,0.08928912,0.08928912
5.4,269.8384,131.3073,49.90031,5.688948,270,126.9702,50,-2.974,271.5854,126.8551,49.77019,-3.369274,0.08825505,0.08825505,0.08928792,0.08928792
5.5,274.7104,130.9917,49.83435,4.713426,275,126.6238,50,-3.955,273.722,126.596,49.43053,-3.953238,0.08825373,0.08825373,0.08928693,0.08928693
5.6,279.6249,130.6443,49.74744,3.751165,280,126.1792,50,-4.936,279.35,126.9471,48.94458,-4.966114,0.08825264,0.08825264,0.0892861,0.0892861
5.7,284.567,130.0258,49.82557,2.78624,285,125.6365,50,-5.917,283.6912,124.2688,50.84321,-5.415092,0.08825174,0.08825174,0.08928542,0.08928542
5.8,289.5754,129.3787,49.86167,1.755916,290,124.9958,50,-6.898,289.6557,124.838,50.20411,-7.424686,0.08825099,0.08825099,0.08928484,0.08928484
5.9,294.656,128.5558,49.87882,0.7566052,295,124.2569,50,-7.879,295.6702,122.9555,49.78425,-7.83246,0.08825037,0.08825037,0.08928437,0.08928437
6,299.766,127.7049,49.99046,-0.2505381,300,123.42,50,-8.86,300.5171,123.0088,50.91698,-9.156835,0.08824987,0.08824987,0.08928397,0.08928397
6.1,304.7126,127.0661,49.98218,-1.135521,305,122.4849,50,-9.841,304.1416,125.3173,50.04924,-9.588269,0.08824944,0.08824944,0.08928364,0.08928364
6.2,309.7655,125.9381,50.02103,-2.12731,310,121.4518,50,-10.822,310.171,120.1022,50.30543,-10.57861,0.0882491,0.0882491,0.08928336,0.08928336
6.3,314.7189,124.5823,50.00314,-3.197388,315,120.3206,50,-11.803,314.2528,117.7092,49.94583,-12.16387,0.08824881,0.08824881,0.08928313,0.08928313
6.4,319.6898,123.467,50.06724,-4.145272,320,119.0912,50,-12.784,318.9403,119.9552,50.91046,-12.76695,0.08824857,0.08824857,0.08928294,0.08928294
6.5,324.7019,122.2332,50.06902,-5.072467,325,117.7637,50,-13.765,324.7541,118.3103,50.07311,-13.3774,0.08824838,0.08824838,0.08928277,0.08928277
6.6,329.9455,120.625,50.10448,-6.17001,330,116.3382,50,-14.746,332.5331,114.4236,49.77962,-15.59022,0.08824822,0.08824822,0.08928264,0.08928264
6.7,334.8699,119.1348,50.06542,-7.153805,335,114.8146,50,-15.727,334.0933,114.9248,49.87668,-15.95322,0.08824809,0.08824809,0.08928253,0.08928253
6.8,339.8118,117.5992,50.0217,-8.111918,340,113.1928,50,-16.708,339.3175,113.8589,49.71166,-16.77644,0.08824798,0.08824798,0.08928243,0.08928243
6.9,344.8032,116.0308,50.04639,-9.079795,345,111.4729,50,-17.689,344.5215,113.099,50.3693,-18.05575,0.08824789,0.08824789,0.08928236,0.08928236
7,349.9263,114.1746,50.05622,-10.08954,350,109.655,50,-18.67,351.2702,109.2369,49.801,-18.95852,0.08824781,0.08824781,0.08928229,0.08928229
7.1,354.948,112.074,50.0599,-11.10035,355,107.7389,50,-19.651,355.1163,105.441,50.05256,-19.53322,0.08824775,0.08824775,0.08928224,0.08928224
7.2,359.977,109.9666,50.01125,-12.10598,360,105.7248,50,-20.632,360.5545,104.4199,49.36903,-20.77296,0.0882477,0.0882477,0.08928219,0.08928219
7.3,364.914,107.7361,49.97471,-13.1107,365,103.6126,50,-21.613,364.3817,101.9158,49.74702,-21.69645,0.08824766,0.08824766,0.08928215,0.08928215
7.4,370.0353,105.5583,50.00155,-14.03949,370,101.4022,50,-22.594,371.3376,101.082,49.92863,-22.2148,0.08824762,0.08824762,0.08928212,0.08928212
7.5,375.0207,103.123,49.97424,-15.08473,375,99.09375,50,-23.575,375.0162,97.4205,49.70035,-24.10969,0.0882476,0.0882476,0.08928209,0.08928209
7.6,379.9705,100.699,49.98962,-16.00722,380,96.6872,50,-24.556,379.3091,95.60306,50.31886,-23.9556,0.08824757,0.08824757,0.08928207,0.08928207
7.7,385.0669,98.33725,50.02234,-16.9338,385,94.18255,50,-25.537,386.019,95.10198,50.10093,-25.41387,0.08824755,0.08824755,0.08928205,0.08928205
7.8,389.9305,95.72956,50.02407,-17.93375,390,91.5798,50,-26.518,388.2733,91.13332,50.47839,-26.79411,0.08824754,0.08824754,0.08928204,0.08928204
7.9,394.9607,93.22055,50.04428,-18.78721,395,88.87895,50,-27.499,395.1643,90.06606,50.1941,-26.55212,0.08824753,0.08824753,0.08928202,0.08928202
8,399.9682,90.39658,50.02455,-19.82394,400,86.08,50,-28.48,400.1286,85.66323,49.78357,-29.01863,0.08824752,0.08824752,0.08928201,0.08928201
8.1,404.9415,87.43281,50.0363,-20.81795,405,83.18295,50,-29.461,404.5221,82.0032,50.26519,-29.39882,0.08824751,0.08824751,0.089282,0.089282
